'SerialNr.: 30391000792540156';;;;;;;;;;;;;;;;
Date;Time;Inverter No.;Device Type;Periode [s];Energy positiv [Ws];Reactive Energy L[Vars];Reactive Energy C[Vars];Uac L1 [V];Uac L2 [V];Uac L3 [V];Iac L1 [A];Iac L2 [A];Iac L3 [A];Udc MPPT1[V];Idc [A];Description
17.09.2020;00:39:01;1;122;1,80E+03;1,64E+06;2,08E+04;1,42E+04;2,33E+02;2,30E+02;2,32E+02;1,31E+00;1,31E+00;1,29E+00;5,93E+02;1,59E+00;
17.09.2020;01:09:01;1;122;1,80E+03;3,95E+06;2,79E+04;4,95E+03;2,35E+02;2,32E+02;2,33E+02;3,14E+00;3,13E+00;3,10E+00;5,92E+02;3,78E+00;
17.09.2020;01:39:01;1;122;1,80E+03;4,64E+06;3,18E+04;1,64E+03;2,33E+02;2,30E+02;2,31E+02;3,71E+00;3,71E+00;3,68E+00;5,69E+02;4,61E+00;
17.09.2020;02:09:01;1;122;1,80E+03;5,09E+06;3,35E+04;5,75E+02;2,32E+02;2,30E+02;2,31E+02;4,09E+00;4,08E+00;4,05E+00;5,59E+02;5,15E+00;
16.09.2020;23:39:01;1;122;1,80E+03;5,32E+06;3,46E+04;1,79E+03;2,33E+02;2,31E+02;2,32E+02;4,25E+00;4,24E+00;4,20E+00;5,53E+02;5,43E+00;
17.09.2020;00:09:01;1;122;1,80E+03;4,89E+06;3,02E+04;2,79E+03;2,33E+02;2,31E+02;2,32E+02;3,91E+00;3,89E+00;3,87E+00;5,49E+02;5,03E+00;
22.09.2020;12:27:10;1;122;;;;;;;;;;;;;Display Information
22.09.2020;12:27:10;1;122;;;;;;;;;;;;;V0.3.23 Build 0
22.09.2020;12:27:10;1;122;;;;;;;;;;;;;16.09.2020 21:07:52 Info 017, Counter 0085
22.09.2020;12:27:10;1;122;;;;;;;;;;;;;Logging Start
22.09.2020;12:30:00;1;122;1,74E+02;5,36E+05;3,50E+03;4,80E+01;2,34E+02;2,31E+02;2,33E+02;4,41E+00;4,41E+00;4,37E+00;5,57E+02;5,61E+00;
22.09.2020;12:35:00;1;122;3,00E+02;9,54E+05;6,08E+03;0,00E+00;2,34E+02;2,31E+02;2,33E+02;4,55E+00;4,55E+00;4,53E+00;5,55E+02;5,82E+00;
22.09.2020;12:40:00;1;122;3,00E+02;9,28E+05;5,90E+03;1,51E+02;2,34E+02;2,32E+02;2,33E+02;4,43E+00;4,43E+00;4,38E+00;5,55E+02;5,67E+00;
22.09.2020;12:45:00;1;122;3,00E+02;9,49E+05;6,20E+03;1,94E+02;2,35E+02;2,33E+02;2,34E+02;4,52E+00;4,51E+00;4,46E+00;5,53E+02;5,81E+00;
22.09.2020;12:50:00;1;122;3,00E+02;9,54E+05;6,99E+03;0,00E+00;2,34E+02;2,32E+02;2,33E+02;4,55E+00;4,56E+00;4,53E+00;5,53E+02;5,85E+00;
22.09.2020;12:55:00;1;122;3,00E+02;9,67E+05;6,28E+03;3,10E+01;2,33E+02;2,31E+02;2,32E+02;4,64E+00;4,63E+00;4,59E+00;5,51E+02;5,95E+00;
22.09.2020;13:00:00;1;122;3,00E+02;9,84E+05;4,27E+03;3,03E+03;2,31E+02;2,29E+02;2,29E+02;4,78E+00;4,78E+00;4,68E+00;5,51E+02;6,05E+00;
22.09.2020;13:05:00;1;122;3,00E+02;9,74E+05;5,55E+03;2,86E+02;2,31E+02;2,29E+02;2,29E+02;4,71E+00;4,70E+00;4,67E+00;5,52E+02;5,98E+00;
22.09.2020;13:10:00;1;122;3,00E+02;9,55E+05;5,47E+03;4,20E+01;2,32E+02;2,30E+02;2,30E+02;4,61E+00;4,60E+00;4,57E+00;5,54E+02;5,84E+00;
22.09.2020;13:15:00;1;122;3,00E+02;9,56E+05;5,35E+03;1,86E+02;2,31E+02;2,29E+02;2,29E+02;4,62E+00;4,62E+00;4,58E+00;5,52E+02;5,86E+00;
22.09.2020;13:20:00;1;122;3,00E+02;9,03E+05;5,22E+03;3,29E+02;2,31E+02;2,29E+02;2,29E+02;4,38E+00;4,37E+00;4,33E+00;5,56E+02;5,50E+00;
22.09.2020;13:25:00;1;122;3,00E+02;9,49E+05;5,41E+03;1,23E+02;2,33E+02;2,31E+02;2,31E+02;4,56E+00;4,55E+00;4,51E+00;5,59E+02;5,75E+00;
22.09.2020;13:30:00;1;122;3,00E+02;9,35E+05;5,91E+03;5,16E+02;2,33E+02;2,31E+02;2,31E+02;4,49E+00;4,50E+00;4,44E+00;5,60E+02;5,66E+00;
22.09.2020;13:35:00;1;122;3,00E+02;8,59E+05;4,91E+03;6,16E+02;2,30E+02;2,28E+02;2,28E+02;4,18E+00;4,16E+00;4,13E+00;5,58E+02;5,21E+00;
22.09.2020;13:40:00;1;122;3,00E+02;8,61E+05;5,84E+03;5,33E+02;2,31E+02;2,30E+02;2,29E+02;4,16E+00;4,16E+00;4,12E+00;5,63E+02;5,18E+00;
22.09.2020;13:45:00;1;122;3,00E+02;8,44E+05;5,31E+03;1,31E+02;2,31E+02;2,29E+02;2,30E+02;4,07E+00;4,07E+00;4,05E+00;5,67E+02;5,04E+00;
22.09.2020;13:50:00;1;122;3,00E+02;8,48E+05;4,85E+03;5,69E+02;2,32E+02;2,30E+02;2,30E+02;4,10E+00;4,08E+00;4,05E+00;5,71E+02;5,02E+00;
22.09.2020;13:55:00;1;122;3,00E+02;6,95E+05;6,00E+03;2,88E+02;2,31E+02;2,30E+02;2,30E+02;3,34E+00;3,35E+00;3,32E+00;5,68E+02;4,15E+00;
22.09.2020;14:00:00;1;122;3,00E+02;1,03E+06;6,38E+03;4,33E+02;2,31E+02;2,29E+02;2,29E+02;4,97E+00;4,99E+00;4,94E+00;5,69E+02;6,12E+00;
22.09.2020;14:05:00;1;122;3,00E+02;8,62E+05;5,41E+03;7,40E+02;2,33E+02;2,30E+02;2,31E+02;4,14E+00;4,14E+00;4,11E+00;5,66E+02;5,14E+00;
22.09.2020;14:10:00;1;122;3,00E+02;3,83E+05;4,07E+03;1,71E+03;2,34E+02;2,32E+02;2,32E+02;1,83E+00;1,82E+00;1,80E+00;5,65E+02;2,31E+00;
22.09.2020;14:15:00;1;122;3,00E+02;4,62E+05;4,07E+03;1,54E+03;2,34E+02;2,32E+02;2,32E+02;2,21E+00;2,20E+00;2,17E+00;5,73E+02;2,74E+00;
22.09.2020;14:20:00;1;122;3,00E+02;3,98E+05;3,88E+03;2,03E+03;2,33E+02;2,31E+02;2,31E+02;1,90E+00;1,91E+00;1,88E+00;5,72E+02;2,37E+00;
22.09.2020;14:25:00;1;122;3,00E+02;3,74E+05;3,75E+03;1,53E+03;2,31E+02;2,28E+02;2,29E+02;1,82E+00;1,80E+00;1,78E+00;5,72E+02;2,23E+00;
22.09.2020;14:30:00;1;122;3,00E+02;3,88E+05;3,57E+03;1,91E+03;2,30E+02;2,28E+02;2,29E+02;1,89E+00;1,88E+00;1,85E+00;5,74E+02;2,30E+00;
22.09.2020;14:35:00;1;122;3,00E+02;4,33E+05;3,99E+03;1,64E+03;2,32E+02;2,29E+02;2,30E+02;2,09E+00;2,09E+00;2,06E+00;5,77E+02;2,55E+00;
22.09.2020;14:40:00;1;122;3,00E+02;6,62E+05;4,67E+03;9,63E+02;2,32E+02;2,30E+02;2,30E+02;3,19E+00;3,18E+00;3,15E+00;5,84E+02;3,84E+00;
22.09.2020;14:45:00;1;122;3,00E+02;7,55E+05;5,22E+03;3,10E+02;2,33E+02;2,30E+02;2,31E+02;3,63E+00;3,62E+00;3,58E+00;5,87E+02;4,35E+00;
22.09.2020;14:50:00;1;122;3,00E+02;5,06E+05;4,88E+03;9,06E+02;2,32E+02;2,30E+02;2,31E+02;2,43E+00;2,43E+00;2,40E+00;5,79E+02;2,96E+00;
22.09.2020;14:55:00;1;122;3,00E+02;2,73E+05;3,10E+03;2,58E+03;2,32E+02;2,29E+02;2,30E+02;1,31E+00;1,32E+00;1,29E+00;5,69E+02;1,65E+00;
22.09.2020;15:00:00;1;122;3,00E+02;6,36E+05;5,77E+03;5,61E+02;2,31E+02;2,29E+02;2,30E+02;3,06E+00;3,08E+00;3,05E+00;5,93E+02;3,65E+00;
22.09.2020;15:05:00;1;122;3,00E+02;4,06E+05;3,87E+03;1,80E+03;2,32E+02;2,29E+02;2,30E+02;1,96E+00;1,95E+00;1,92E+00;5,82E+02;2,37E+00;
22.09.2020;15:10:00;1;122;3,00E+02;4,39E+05;4,27E+03;1,47E+03;2,32E+02;2,29E+02;2,30E+02;2,11E+00;2,11E+00;2,08E+00;5,86E+02;2,54E+00;
22.09.2020;15:15:00;1;122;3,00E+02;4,46E+05;4,11E+03;1,21E+03;2,32E+02;2,29E+02;2,30E+02;2,15E+00;2,14E+00;2,13E+00;5,92E+02;2,57E+00;
